title,name_en,name_zh,name_ja,has_in_game_screenshot,target_media_file,local_filename,image_url,width,height,filesize,local_rel_path,grid_size,size_category,size_label
Item:Blue small round mat (New Horizons),Blue small round mat,小型藍色圓地墊,あおいラウンドマット・S,False,File:Blue_Small_Round_Mat_NH_Icon.png,小型藍色圓地墊_Blue_small_round_mat.png,https://dodo.ac/np/images/4/4f/Blue_Small_Round_Mat_NH_Icon.png,128,128,8246,images/rugs/小型藍色圓地墊_Blue_small_round_mat.webp,2.0 × 2.0,S,小型 (S)
Item:Blue stripes rug (New Horizons),Blue stripes rug,藍色粗橫紋地毯,あおボーダーのラグ,False,File:Blue_Stripes_Rug_NH_Icon.png,藍色粗橫紋地毯_Blue_stripes_rug.png,https://dodo.ac/np/images/e/ef/Blue_Stripes_Rug_NH_Icon.png,128,128,9489,images/rugs/藍色粗橫紋地毯_Blue_stripes_rug.webp,4.0 × 3.0,L,大型 (L)
Item:Blue vinyl sheet (New Horizons),Blue vinyl sheet,藍色塑膠墊,あおいビニールシート,False,File:Blue_Vinyl_Sheet_NH_Icon.png,藍色塑膠墊_Blue_vinyl_sheet.png,https://dodo.ac/np/images/0/01/Blue_Vinyl_Sheet_NH_Icon.png,128,128,9954,images/rugs/藍色塑膠墊_Blue_vinyl_sheet.webp,3.0 × 2.0,M,中型 (M)
Item:Blue wavy rug (New Horizons),Blue wavy rug,藍色波浪地毯,あおいウェーブのラグ,False,File:Blue_Wavy_Rug_NH_Icon.png,藍色波浪地毯_Blue_wavy_rug.png,https://dodo.ac/np/images/b/b2/Blue_Wavy_Rug_NH_Icon.png,128,128,9754,images/rugs/藍色波浪地毯_Blue_wavy_rug.webp,4.0 × 3.0,L,大型 (L)
Item:Blue wedding rug (New Horizons),Blue wedding rug,藍色婚禮地毯,ウェディングなラグ・ブルー,False,File:Blue_Wedding_Rug_NH_Icon.png,藍色婚禮地毯_Blue_wedding_rug.png,https://dodo.ac/np/images/5/57/Blue_Wedding_Rug_NH_Icon.png,128,128,9500,images/rugs/藍色婚禮地毯_Blue_wedding_rug.webp,3.0 × 2.0,M,中型 (M)
Item:Blue-design kitchen mat (New Horizons),Blue-design kitchen mat,藍色圖案廚房地墊,あおいパターンキッチンマット,False,File:Blue-Design_Kitchen_Mat_NH_Icon.png,藍色圖案廚房地墊_Blue-design_kitchen_mat.png,https://dodo.ac/np/images/c/c8/Blue-Design_Kitchen_Mat_NH_Icon.png,128,128,9150,images/rugs/藍色圖案廚房地墊_Blue-design_kitchen_mat.webp,2.0 × 1.0,S,小型 (S)
Item:Bone entrance mat (New Horizons),Bone entrance mat,骨頭玄關地毯,ボーンなげんかんマット,False,File:Bone_Entrance_Mat_NH_Icon.png,骨頭玄關地毯_Bone_entrance_mat.png,https://dodo.ac/np/images/5/59/Bone_Entrance_Mat_NH_Icon.png,128,128,7658,images/rugs/骨頭玄關地毯_Bone_entrance_mat.webp,2.0 × 1.0,S,小型 (S)
Item:Botanical rug (New Horizons),Botanical rug,植物圖案地毯,ボタニカルなラグ,False,File:Botanical_Rug_NH_Icon.png,植物圖案地毯_Botanical_rug.png,https://dodo.ac/np/images/7/74/Botanical_Rug_NH_Icon.png,128,128,12043,images/rugs/植物圖案地毯_Botanical_rug.webp,4.0 × 3.0,L,大型 (L)
Item:Brown argyle rug (New Horizons),Brown argyle rug,茶色菱格紋地毯,ちゃいろいアーガイルのラグ,False,File:Brown_Argyle_Rug_NH_Icon.png,茶色菱格紋地毯_Brown_argyle_rug.png,https://dodo.ac/np/images/5/52/Brown_Argyle_Rug_NH_Icon.png,128,128,9864,images/rugs/茶色菱格紋地毯_Brown_argyle_rug.webp,4.0 × 3.0,L,大型 (L)
Item:Brown cow-print rug (New Horizons),Brown cow-print rug,棕色皮革地毯,ブラウンのぎゅうがわラグ,False,File:Brown_Cow-Print_Rug_NH_Icon.png,棕色皮革地毯_Brown_cow-print_rug.png,https://dodo.ac/np/images/f/f7/Brown_Cow-Print_Rug_NH_Icon.png,128,128,8178,images/rugs/棕色皮革地毯_Brown_cow-print_rug.webp,3.0 × 2.0,M,中型 (M)
Item:Brown kitchen mat (New Horizons),Brown kitchen mat,茶色廚房地墊,ちゃいろいキッチンマット,False,File:Brown_Kitchen_Mat_NH_Icon.png,茶色廚房地墊_Brown_kitchen_mat.png,https://dodo.ac/np/images/6/6a/Brown_Kitchen_Mat_NH_Icon.png,128,128,9228,images/rugs/茶色廚房地墊_Brown_kitchen_mat.webp,2.0 × 1.0,S,小型 (S)
Item:Brown shaggy rug (New Horizons),Brown shaggy rug,茶色長毛地毯,ちゃいろいシャギーなラグ,False,File:Brown_Shaggy_Rug_NH_Icon.png,茶色長毛地毯_Brown_shaggy_rug.png,https://dodo.ac/np/images/f/f4/Brown_Shaggy_Rug_NH_Icon.png,128,128,11900,images/rugs/茶色長毛地毯_Brown_shaggy_rug.webp,5.0 × 5.0,L,大型 (L)
Item:Brown wooden-deck rug (New Horizons),Brown wooden-deck rug,茶色木甲板地毯,ちゃいろいウッドデッキのラグ,False,File:Brown_Wooden-Deck_Rug_NH_Icon.png,茶色木甲板地毯_Brown_wooden-deck_rug.png,https://dodo.ac/np/images/9/92/Brown_Wooden-Deck_Rug_NH_Icon.png,128,128,10121,images/rugs/茶色木甲板地毯_Brown_wooden-deck_rug.webp,3.0 × 2.0,M,中型 (M)
Item:Bunny Day rug (New Horizons),Bunny Day rug,復活節地毯,イースターなラグ,False,File:Bunny_Day_Rug_NH_Icon.png,復活節地毯_Bunny_Day_rug.png,https://dodo.ac/np/images/d/d2/Bunny_Day_Rug_NH_Icon.png,128,128,9797,images/rugs/復活節地毯_Bunny_Day_rug.webp,3.0 × 3.0,M,中型 (M)
Item:Cherry rug (New Horizons),Cherry rug,櫻桃地毯,さくらんぼのラグ,False,File:Cherry_Rug_NH_Icon.png,櫻桃地毯_Cherry_rug.png,https://dodo.ac/np/images/d/dd/Cherry_Rug_NH_Icon.png,128,128,7090,images/rugs/櫻桃地毯_Cherry_rug.webp,3.0 × 3.0,M,中型 (M)
Item:Cherry-blossom rug (New Horizons),Cherry-blossom rug,櫻花地毯,さくらのラグ,False,File:Cherry-Blossom_Rug_NH_Icon.png,櫻花地毯_Cherry-blossom_rug.png,https://dodo.ac/np/images/9/95/Cherry-Blossom_Rug_NH_Icon.png,128,128,6884,images/rugs/櫻花地毯_Cherry-blossom_rug.webp,3.0 × 3.0,M,中型 (M)
Item:Cinnamoroll rug (New Horizons),Cinnamoroll rug,Cinnamoroll地毯,シナモロールなラグ,False,File:Cinnamoroll_Rug_NH_Icon.png,Cinnamoroll地毯_Cinnamoroll_rug.png,https://dodo.ac/np/images/7/78/Cinnamoroll_Rug_NH_Icon.png,128,128,6174,images/rugs/Cinnamoroll地毯_Cinnamoroll_rug.webp,3.0 × 3.0,M,中型 (M)
Item:Coconut mat (New Horizons),Coconut mat,椰子地墊,ココナッツマット,False,File:Coconut_Mat_NH_Icon.png,椰子地墊_Coconut_mat.png,https://dodo.ac/np/images/a/ae/Coconut_Mat_NH_Icon.png,128,128,11506,images/rugs/椰子地墊_Coconut_mat.webp,2.0 × 1.0,S,小型 (S)
Item:Colorful vinyl sheet (New Horizons),Colorful vinyl sheet,彩色塑膠墊,カラフルなビニールシート,False,File:Colorful_Vinyl_Sheet_NH_Icon.png,彩色塑膠墊_Colorful_vinyl_sheet.png,https://dodo.ac/np/images/c/cf/Colorful_Vinyl_Sheet_NH_Icon.png,128,128,9070,images/rugs/彩色塑膠墊_Colorful_vinyl_sheet.webp,3.0 × 2.0,M,中型 (M)
Item:Cookie rug (New Horizons),Cookie rug,餅乾地毯,ビスケットのラグ,False,File:Cookie_Rug_NH_Icon.png,餅乾地毯_Cookie_rug.png,https://dodo.ac/np/images/b/b3/Cookie_Rug_NH_Icon.png,128,128,9062,images/rugs/餅乾地毯_Cookie_rug.webp,3.0 × 3.0,M,中型 (M)
Item:Dark bamboo bath mat (New Horizons),Dark bamboo bath mat,深色竹子浴室地墊,ダークなバンブーバスマット,False,File:Dark_Bamboo_Bath_Mat_NH_Icon.png,深色竹子浴室地墊_Dark_bamboo_bath_mat.png,https://dodo.ac/np/images/e/e1/Dark_Bamboo_Bath_Mat_NH_Icon.png,128,128,9657,images/rugs/深色竹子浴室地墊_Dark_bamboo_bath_mat.webp,2.0 × 1.0,S,小型 (S)
Item:Dark bamboo rug (New Horizons),Dark bamboo rug,深色竹地毯,ダークなバンブーラグ,False,File:Dark_Bamboo_Rug_NH_Icon.png,深色竹地毯_Dark_bamboo_rug.png,https://dodo.ac/np/images/7/70/Dark_Bamboo_Rug_NH_Icon.png,128,128,11065,images/rugs/深色竹地毯_Dark_bamboo_rug.webp,3.0 × 2.0,M,中型 (M)
Item:Dark square tile (New Horizons),Dark square tile,深色地磚地毯,ダークなフローリングタイル,False,File:Dark_Square_Tile_NH_Icon.png,深色地磚地毯_Dark_square_tile.png,https://dodo.ac/np/images/3/39/Dark_Square_Tile_NH_Icon.png,128,128,11374,images/rugs/深色地磚地毯_Dark_square_tile.webp,2.0 × 2.0,S,小型 (S)
Item:Dark stones rug (New Horizons),Dark stones rug,深色石頭地毯,ダークストーンなラグ,False,File:Dark_Stones_Rug_NH_Icon.png,深色石頭地毯_Dark_stones_rug.png,https://dodo.ac/np/images/e/e2/Dark_Stones_Rug_NH_Icon.png,128,128,11602,images/rugs/深色石頭地毯_Dark_stones_rug.webp,2.0 × 2.0,S,小型 (S)
Item:Dark-wood flooring sheet (New Horizons),Dark-wood flooring sheet,深木色地板鋪巾,ダークウッドなフロアシート,False,File:Dark-Wood_Flooring_Sheet_NH_Icon.png,深木色地板鋪巾_Dark-wood_flooring_sheet.png,https://dodo.ac/np/images/d/d4/Dark-Wood_Flooring_Sheet_NH_Icon.png,128,128,6958,images/rugs/深木色地板鋪巾_Dark-wood_flooring_sheet.webp,2.0 × 1.0,S,小型 (S)
Item:Dark-wood flooring tile (New Horizons),Dark-wood flooring tile,深木色地磚地墊,ダークウッドなフロアタイル,False,File:Dark-Wood_Flooring_Tile_NH_Icon.png,深木色地磚地墊_Dark-wood_flooring_tile.png,https://dodo.ac/np/images/f/fc/Dark-Wood_Flooring_Tile_NH_Icon.png,128,128,8117,images/rugs/深木色地磚地墊_Dark-wood_flooring_tile.webp,1.0 × 1.0,S,小型 (S)
Item:Earth rug (New Horizons),Earth rug,地球地毯,ちきゅうのラグ,False,File:Earth_Rug_NH_Icon.png,地球地毯_Earth_rug.png,https://dodo.ac/np/images/b/bc/Earth_Rug_NH_Icon.png,128,128,10455,images/rugs/地球地毯_Earth_rug.webp,3.0 × 3.0,M,中型 (M)
Item:Elegant beige rug (New Horizons),Elegant beige rug,米色優雅地毯,ベージュのエレガントなラグ,False,File:Elegant_Beige_Rug_NH_Icon.png,米色優雅地毯_Elegant_beige_rug.png,https://dodo.ac/np/images/7/70/Elegant_Beige_Rug_NH_Icon.png,128,128,13109,images/rugs/米色優雅地毯_Elegant_beige_rug.webp,4.0 × 4.0,L,大型 (L)
Item:Elegant black rug (New Horizons),Elegant black rug,黑色優雅地毯,ブラックのエレガントなラグ,False,File:Elegant_Black_Rug_NH_Icon.png,黑色優雅地毯_Elegant_black_rug.png,https://dodo.ac/np/images/3/30/Elegant_Black_Rug_NH_Icon.png,128,128,12319,images/rugs/黑色優雅地毯_Elegant_black_rug.webp,4.0 × 4.0,L,大型 (L)
Item:Elegant blue rug (New Horizons),Elegant blue rug,藍色優雅地毯,ブルーのエレガントなラグ,False,File:Elegant_Blue_Rug_NH_Icon.png,藍色優雅地毯_Elegant_blue_rug.png,https://dodo.ac/np/images/b/b8/Elegant_Blue_Rug_NH_Icon.png,128,128,12919,images/rugs/藍色優雅地毯_Elegant_blue_rug.webp,4.0 × 4.0,L,大型 (L)
Item:Elegant brown rug (New Horizons),Elegant brown rug,棕色優雅地毯,ブラウンのエレガントなラグ,False,File:Elegant_Brown_Rug_NH_Icon.png,棕色優雅地毯_Elegant_brown_rug.png,https://dodo.ac/np/images/b/bd/Elegant_Brown_Rug_NH_Icon.png,128,128,12752,images/rugs/棕色優雅地毯_Elegant_brown_rug.webp,4.0 × 4.0,L,大型 (L)
Item:Festive rug (New Horizons),Festive rug,聖誕節地毯,クリスマスなラグ,False,File:Festive_Rug_NH_Icon.png,聖誕節地毯_Festive_rug.png,https://dodo.ac/np/images/6/6f/Festive_Rug_NH_Icon.png,128,128,13936,images/rugs/聖誕節地毯_Festive_rug.webp,4.0 × 4.0,L,大型 (L)
Item:Fish rug (New Horizons),Fish rug,魚兒地毯,おサカナのラグ,False,File:Fish_Rug_NH_Icon.png,魚兒地毯_Fish_rug.png,https://dodo.ac/np/images/9/99/Fish_Rug_NH_Icon.png,128,128,7143,images/rugs/魚兒地毯_Fish_rug.webp,3.0 × 3.0,M,中型 (M)
Item:Fluffy rug (New Horizons),Fluffy rug,雲朵地毯,もくもくのラグ,False,File:Fluffy_Rug_NH_Icon.png,雲朵地毯_Fluffy_rug.png,https://dodo.ac/np/images/a/ab/Fluffy_Rug_NH_Icon.png,128,128,6450,images/rugs/雲朵地毯_Fluffy_rug.webp,3.0 × 3.0,M,中型 (M)
Item:Football rug (New Horizons),Football rug,美式足球地毯,アメフトのラグ,False,File:Football_Rug_NH_Icon.png,美式足球地毯_Football_rug.png,https://dodo.ac/np/images/1/16/Football_Rug_NH_Icon.png,128,128,12038,images/rugs/美式足球地毯_Football_rug.webp,3.0 × 3.0,M,中型 (M)
Item:Fossil rug (New Horizons),Fossil rug,化石地毯,かせきのラグ,False,File:Fossil_Rug_NH_Icon.png,化石地毯_Fossil_rug.png,https://dodo.ac/np/images/8/80/Fossil_Rug_NH_Icon.png,128,128,8076,images/rugs/化石地毯_Fossil_rug.webp,3.0 × 3.0,M,中型 (M)
Item:Frozen floor tiles (New Horizons),Frozen floor tiles,冰地磚地墊,こおりのフロアタイル,False,File:Frozen_Floor_Tiles_NH_Icon.png,冰地磚地墊_Frozen_floor_tiles.png,https://dodo.ac/np/images/e/ed/Frozen_Floor_Tiles_NH_Icon.png,128,128,13184,images/rugs/冰地磚地墊_Frozen_floor_tiles.webp,2.0 × 2.0,S,小型 (S)
Item:Glowing-moss rug (New Horizons),Glowing-moss rug,光蘚地毯,ヒカリゴケのラグ,False,File:Glowing-Moss_Rug_NH_Icon.png,光蘚地毯_Glowing-moss_rug.png,https://dodo.ac/np/images/3/3d/Glowing-Moss_Rug_NH_Icon.png,128,128,9877,images/rugs/光蘚地毯_Glowing-moss_rug.webp,3.0 × 2.0,M,中型 (M)
Item:Gray brick rug (New Horizons),Gray brick rug,灰色磚塊地毯,グレーレンガなラグ,False,File:Gray_Brick_Rug_NH_Icon.png,灰色磚塊地毯_Gray_brick_rug.png,https://dodo.ac/np/images/e/ef/Gray_Brick_Rug_NH_Icon.png,128,128,12272,images/rugs/灰色磚塊地毯_Gray_brick_rug.webp,2.0 × 2.0,S,小型 (S)
Item:Gray floor tiles (New Horizons),Gray floor tiles,灰色地磚地墊,グレーのフロアタイル,False,File:Gray_Floor_Tiles_NH_Icon.png,灰色地磚地墊_Gray_floor_tiles.png,https://dodo.ac/np/images/0/03/Gray_Floor_Tiles_NH_Icon.png,128,128,10691,images/rugs/灰色地磚地墊_Gray_floor_tiles.webp,2.0 × 2.0,S,小型 (S)
Item:Green bamboo mat (New Horizons),Green bamboo mat,綠色竹子鋪墊,みどりのたけのしきもの,False,File:Green_Bamboo_Mat_NH_Icon.png,綠色竹子鋪墊_Green_bamboo_mat.png,https://dodo.ac/np/images/d/dd/Green_Bamboo_Mat_NH_Icon.png,128,128,8773,images/rugs/綠色竹子鋪墊_Green_bamboo_mat.webp,2.0 × 1.0,S,小型 (S)
Item:Green checked rug (New Horizons),Green checked rug,綠色格紋拼布地毯,みどりのチェックキルトのラグ,False,File:Green_Checked_Rug_NH_Icon.png,綠色格紋拼布地毯_Green_checked_rug.png,https://dodo.ac/np/images/7/70/Green_Checked_Rug_NH_Icon.png,128,128,13740,images/rugs/綠色格紋拼布地毯_Green_checked_rug.webp,4.0 × 4.0,L,大型 (L)
Item:Green exercise mat (New Horizons),Green exercise mat,綠色體操墊,みどりのたいそうマット,False,File:Green_Exercise_Mat_NH_Icon.png,綠色體操墊_Green_exercise_mat.png,https://dodo.ac/np/images/f/f9/Green_Exercise_Mat_NH_Icon.png,128,128,8337,images/rugs/綠色體操墊_Green_exercise_mat.webp,3.0 × 2.0,M,中型 (M)
Item:Green exquisite rug (New Horizons),Green exquisite rug,綠色中式地墊,みどりのチャイナなマット,False,File:Green_Exquisite_Rug_NH_Icon.png,綠色中式地墊_Green_exquisite_rug.png,https://dodo.ac/np/images/2/27/Green_Exquisite_Rug_NH_Icon.png,128,128,9129,images/rugs/綠色中式地墊_Green_exquisite_rug.webp,2.0 × 1.0,S,小型 (S)
Item:Green Hawaiian quilt rug (New Horizons),Green Hawaiian quilt rug,綠色夏威夷拼布地毯,みどりのハワイアンキルトのラグ,False,File:Green_Hawaiian_Quilt_Rug_NH_Icon.png,綠色夏威夷拼布地毯_Green_Hawaiian_quilt_rug.png,https://dodo.ac/np/images/b/b0/Green_Hawaiian_Quilt_Rug_NH_Icon.png,128,128,11944,images/rugs/綠色夏威夷拼布地毯_Green_Hawaiian_quilt_rug.webp,4.0 × 4.0,L,大型 (L)
Item:Green kilim-style carpet (New Horizons),Green kilim-style carpet,綠色基裡姆地毯,みどりのキリムのカーペット,False,File:Green_Kilim-Style_Carpet_NH_Icon.png,綠色基裡姆地毯_Green_kilim-style_carpet.png,https://dodo.ac/np/images/d/d7/Green_Kilim-Style_Carpet_NH_Icon.png,128,128,13537,images/rugs/綠色基裡姆地毯_Green_kilim-style_carpet.webp,5.0 × 5.0,L,大型 (L)
Item:Green kitchen mat (New Horizons),Green kitchen mat,綠色廚房地墊,みどりのキッチンマット,False,File:Green_Kitchen_Mat_NH_Icon.png,綠色廚房地墊_Green_kitchen_mat.png,https://dodo.ac/np/images/f/f9/Green_Kitchen_Mat_NH_Icon.png,128,128,9222,images/rugs/綠色廚房地墊_Green_kitchen_mat.webp,2.0 × 1.0,S,小型 (S)
Item:Green shaggy rug (New Horizons),Green shaggy rug,綠色長毛地毯,みどりのシャギーなラグ,False,File:Green_Shaggy_Rug_NH_Icon.png,綠色長毛地毯_Green_shaggy_rug.png,https://dodo.ac/np/images/7/7f/Green_Shaggy_Rug_NH_Icon.png,128,128,11589,images/rugs/綠色長毛地毯_Green_shaggy_rug.webp,5.0 × 5.0,L,大型 (L)
Item:Green stripes rug (New Horizons),Green stripes rug,綠色粗橫紋地毯,みどりボーダーのラグ,False,File:Green_Stripes_Rug_NH_Icon.png,綠色粗橫紋地毯_Green_stripes_rug.png,https://dodo.ac/np/images/c/c3/Green_Stripes_Rug_NH_Icon.png,128,128,9699,images/rugs/綠色粗橫紋地毯_Green_stripes_rug.webp,4.0 × 3.0,L,大型 (L)
Item:Hello Kitty rug (New Horizons),Hello Kitty rug,Hello Kitty地毯,ハローキティなラグ,False,File:Hello_Kitty_Rug_NH_Icon.png,Hello_Kitty地毯_Hello_Kitty_rug.png,https://dodo.ac/np/images/6/6e/Hello_Kitty_Rug_NH_Icon.png,128,128,8984,images/rugs/Hello_Kitty地毯_Hello_Kitty_rug.webp,3.0 × 3.0,M,中型 (M)
Item:Imperial rug (New Horizons),Imperial rug,中式地毯,ちゅうかなラグ,False,File:Imperial_Rug_NH_Icon.png,中式地毯_Imperial_rug.png,https://dodo.ac/np/images/1/18/Imperial_Rug_NH_Icon.png,128,128,10717,images/rugs/中式地毯_Imperial_rug.webp,4.0 × 4.0,L,大型 (L)
Item:Iron entrance mat (New Horizons),Iron entrance mat,鑄鐵玄關地墊,アイアンなげんかんマット,False,File:Iron_Entrance_Mat_NH_Icon.png,鑄鐵玄關地墊_Iron_entrance_mat.png,https://dodo.ac/np/images/c/cf/Iron_Entrance_Mat_NH_Icon.png,128,128,8917,images/rugs/鑄鐵玄關地墊_Iron_entrance_mat.webp,2.0 × 1.0,S,小型 (S)
Item:Ivory medium round mat (New Horizons),Ivory medium round mat,中型象牙色圓地墊,アイボリーのラウンドマット・M,False,File:Ivory_Medium_Round_Mat_NH_Icon.png,中型象牙色圓地墊_Ivory_medium_round_mat.png,https://dodo.ac/np/images/7/7b/Ivory_Medium_Round_Mat_NH_Icon.png,128,128,8894,images/rugs/中型象牙色圓地墊_Ivory_medium_round_mat.webp,3.0 × 3.0,M,中型 (M)
