title,name_en,name_zh,name_zht,name_zhs,name_ja,has_in_game_screenshot,target_media_file,local_filename,local_rel_path,image_url,width,height,filesize
Item:Backyard-fence wall (New Horizons),Backyard-fence wall,後院牆,後院牆,后院墙,うらにわのかべ,True,File:Backyard-Fence Wall NH Screenshot.jpg,後院牆_Backyard-fence_wall.jpg,images/wallpapers/後院牆_Backyard-fence_wall.webp,https://dodo.ac/np/images/8/85/Backyard-Fence_Wall_NH_Screenshot.jpg,1280,720,176402
Item:Bamboo wall (New Horizons),Bamboo wall,竹子牆,竹子牆,竹子墙,バンブーなかべ,True,File:Bamboo Wall NH Screenshot.jpg,竹子牆_Bamboo_wall.jpg,images/wallpapers/竹子牆_Bamboo_wall.webp,https://dodo.ac/np/images/c/c7/Bamboo_Wall_NH_Screenshot.jpg,1280,720,222347
Item:Bamboo-grove wall (New Horizons),Bamboo-grove wall,竹林牆,竹林牆,竹林墙,ちくりんのかべ,True,File:Bamboo-Grove Wall NH Screenshot.jpg,竹林牆_Bamboo-grove_wall.jpg,images/wallpapers/竹林牆_Bamboo-grove_wall.webp,https://dodo.ac/np/images/f/f4/Bamboo-Grove_Wall_NH_Screenshot.jpg,1280,720,240040
Item:Bamboo-screen wall (New Horizons),Bamboo-screen wall,竹簾牆,竹簾牆,竹帘墙,すだれのかべ,True,File:Bamboo-Screen Wall NH Screenshot.jpg,竹簾牆_Bamboo-screen_wall.jpg,images/wallpapers/竹簾牆_Bamboo-screen_wall.webp,https://dodo.ac/np/images/e/ea/Bamboo-Screen_Wall_NH_Screenshot.jpg,1280,720,302246
Item:Bank-vault wall (New Horizons),Bank-vault wall,銀行保險箱牆,銀行保險箱牆,银行保险箱墙,かしきんこのかべ,True,File:Bank-Vault Wall NH Screenshot.jpg,銀行保險箱牆_Bank-vault_wall.jpg,images/wallpapers/銀行保險箱牆_Bank-vault_wall.webp,https://dodo.ac/np/images/8/83/Bank-Vault_Wall_NH_Screenshot.jpg,1280,720,237006
Item:Basic wall (New Horizons),Basic wall,簡約壁板牆,簡約壁板牆,简约壁板墙,シンプルパネルのかべ,True,File:Basic Wall NH Screenshot.jpg,簡約壁板牆_Basic_wall.jpg,images/wallpapers/簡約壁板牆_Basic_wall.webp,https://dodo.ac/np/images/a/ae/Basic_Wall_NH_Screenshot.jpg,1280,720,122095
Item:Bathhouse wall (New Horizons),Bathhouse wall,澡堂牆,澡堂墙,澡堂牆,せんとうのかべ,False,File:Bathhouse_Wall_NH_Icon.png,澡堂牆_Bathhouse_wall.png,images/wallpapers/澡堂牆_Bathhouse_wall.webp,https://dodo.ac/np/images/8/86/Bathhouse_Wall_NH_Icon.png,128,128,20491
Item:Beaded-curtain wall (New Horizons),Beaded-curtain wall,珠簾牆,珠簾牆,珠帘墙,たまのれんのかべ,True,File:Beaded-Curtain Wall NH Screenshot.jpg,珠簾牆_Beaded-curtain_wall.jpg,images/wallpapers/珠簾牆_Beaded-curtain_wall.webp,https://dodo.ac/np/images/6/62/Beaded-Curtain_Wall_NH_Screenshot.jpg,1280,720,284826
Item:Beige art-deco wall (New Horizons),Beige art-deco wall,米色裝飾線板壁紙,米色裝飾線板壁紙,米色装饰线板墙,ベージュのアールデコかべがみ,True,File:Beige Art-Deco Wall NH Screenshot.jpg,米色裝飾線板壁紙_Beige_art-deco_wall.jpg,images/wallpapers/米色裝飾線板壁紙_Beige_art-deco_wall.webp,https://dodo.ac/np/images/a/a5/Beige_Art-Deco_Wall_NH_Screenshot.jpg,1280,720,240892
Item:Beige blossoming wall (New Horizons),Beige blossoming wall,米色花草圖案牆,米色花草圖案牆,米色花草图案墙,ベージュのくさばなもようのかべ,True,File:Beige Blossoming Wall NH Screenshot.jpg,米色花草圖案牆_Beige_blossoming_wall.jpg,images/wallpapers/米色花草圖案牆_Beige_blossoming_wall.webp,https://dodo.ac/np/images/f/f3/Beige_Blossoming_Wall_NH_Screenshot.jpg,1280,720,185532
Item:Beige Moroccan wall (New Horizons),Beige Moroccan wall,米色摩洛哥磚牆,米色摩洛哥磚牆,米色摩洛哥砖墙,ベージュのモロッカンタイルかべ,True,File:Beige Moroccan Wall NH Screenshot.jpg,米色摩洛哥磚牆_Beige_Moroccan_wall.jpg,images/wallpapers/米色摩洛哥磚牆_Beige_Moroccan_wall.webp,https://dodo.ac/np/images/3/3e/Beige_Moroccan_Wall_NH_Screenshot.jpg,1280,720,308969
Item:Black botanical-tile wall (New Horizons),Black botanical-tile wall,黑色植物圖案磚牆,黑色植物圖案磚牆,黑色植物图案砖墙,くろいボタニカルタイルのかべ,True,File:Black Botanical-Tile Wall NH Screenshot.jpg,黑色植物圖案磚牆_Black_botanical-tile_wall.jpg,images/wallpapers/黑色植物圖案磚牆_Black_botanical-tile_wall.webp,https://dodo.ac/np/images/f/f7/Black_Botanical-Tile_Wall_NH_Screenshot.jpg,1280,720,152043
Item:Black European-style wall (New Horizons),Black European-style wall,歐式黑牆,欧式黑墙,歐式黑牆,ヨーロピアンスタイルのくろかべ,False,File:Black_European-Style_Wall_NH_Icon.png,歐式黑牆_Black_European-style_wall.png,images/wallpapers/歐式黑牆_Black_European-style_wall.webp,https://dodo.ac/np/images/1/11/Black_European-Style_Wall_NH_Icon.png,128,128,17841
Item:Black hallway wall (New Horizons),Black hallway wall,黑色大廳牆,黑色大廳牆,黑色大厅墙,くろいホールのかべ,True,File:Black Hallway Wall NH Screenshot.jpg,黑色大廳牆_Black_hallway_wall.jpg,images/wallpapers/黑色大廳牆_Black_hallway_wall.webp,https://dodo.ac/np/images/6/6c/Black_Hallway_Wall_NH_Screenshot.jpg,1280,720,138861
Item:Black perforated-board wall (New Horizons),Black perforated-board wall,黑色洞洞板牆,黑色洞洞板牆,黑色洞洞板墙,くろいパンチングボードのかべ,True,File:Black Perforated-Board Wall NH Screenshot.jpg,黑色洞洞板牆_Black_perforated-board_wall.jpg,images/wallpapers/黑色洞洞板牆_Black_perforated-board_wall.webp,https://dodo.ac/np/images/1/18/Black_Perforated-Board_Wall_NH_Screenshot.jpg,1280,720,160756
Item:Black two-toned tile wall (New Horizons),Black two-toned tile wall,灰階配色撞色磚牆,灰階配色撞色磚牆,单色配色撞色砖墙,モノクロツートンタイルのかべ,True,File:Black Two-Toned Tile Wall NH Screenshot.jpg,灰階配色撞色磚牆_Black_two-toned_tile_wall.jpg,images/wallpapers/灰階配色撞色磚牆_Black_two-toned_tile_wall.webp,https://dodo.ac/np/images/4/44/Black_Two-Toned_Tile_Wall_NH_Screenshot.jpg,1280,720,222683
Item:Black window-panel wall (New Horizons),Black window-panel wall,黑色窗臺牆,黑色窗台墙,黑色窗台牆,くろいまどべのかべ,False,File:Black_Window-Panel_Wall_NH_Icon.png,黑色窗臺牆_Black_window-panel_wall.png,images/wallpapers/黑色窗臺牆_Black_window-panel_wall.webp,https://dodo.ac/np/images/a/a1/Black_Window-Panel_Wall_NH_Icon.png,128,128,18007
Item:Black-brick wall (New Horizons),Black-brick wall,黑色磚塊牆,黑色磚塊牆,黑色砖块墙,くろレンガのかべ,True,File:Black-Brick Wall NH Screenshot.jpg,黑色磚塊牆_Black-brick_wall.jpg,images/wallpapers/黑色磚塊牆_Black-brick_wall.webp,https://dodo.ac/np/images/a/a6/Black-Brick_Wall_NH_Screenshot.jpg,1280,720,188192
Item:Black-crown wall (New Horizons),Black-crown wall,黑色皇冠壁紙,黑色皇冠壁紙,黑色皇冠壁纸,ブラッククラウンのかべがみ,True,File:Black-Crown Wall NH Screenshot.jpg,黑色皇冠壁紙_Black-crown_wall.jpg,images/wallpapers/黑色皇冠壁紙_Black-crown_wall.webp,https://dodo.ac/np/images/9/9a/Black-Crown_Wall_NH_Screenshot.jpg,1280,720,144938
Item:Blackboard wall (New Horizons),Blackboard wall,黑板牆,黑板牆,黑板墙,こくばんのかべ,True,File:Blackboard Wall NH Screenshot.jpg,黑板牆_Blackboard_wall.jpg,images/wallpapers/黑板牆_Blackboard_wall.webp,https://dodo.ac/np/images/6/67/Blackboard_Wall_NH_Screenshot.jpg,1280,720,276914
Item:Blue blossoming wall (New Horizons),Blue blossoming wall,藍色花草圖案牆,藍色花草圖案牆,蓝色花草图案墙,あおいくさばなもようのかべ,True,File:Blue Blossoming Wall NH Screenshot.jpg,藍色花草圖案牆_Blue_blossoming_wall.jpg,images/wallpapers/藍色花草圖案牆_Blue_blossoming_wall.webp,https://dodo.ac/np/images/5/59/Blue_Blossoming_Wall_NH_Screenshot.jpg,1280,720,184600
Item:Blue camo wall (New Horizons),Blue camo wall,藍色迷彩壁紙,藍色迷彩壁紙,蓝色迷彩壁纸,ブルーめいさいのかべがみ,True,File:Blue Camo Wall NH Screenshot.jpg,藍色迷彩壁紙_Blue_camo_wall.jpg,images/wallpapers/藍色迷彩壁紙_Blue_camo_wall.webp,https://dodo.ac/np/images/7/7b/Blue_Camo_Wall_NH_Screenshot.jpg,1280,720,201036
Item:Blue delicate-blooms wall (New Horizons),Blue delicate-blooms wall,藍色碎花壁紙,藍色碎花壁紙,蓝色碎花壁纸,あおいこばながらのかべがみ,True,File:Blue Delicate-Blooms Wall NH Screenshot.jpg,藍色碎花壁紙_Blue_delicate-blooms_wall.jpg,images/wallpapers/藍色碎花壁紙_Blue_delicate-blooms_wall.webp,https://dodo.ac/np/images/e/ea/Blue_Delicate-Blooms_Wall_NH_Screenshot.jpg,1280,720,164207
Item:Blue diner wall (New Horizons),Blue diner wall,藍色餐館牆,藍色餐館牆,蓝色餐馆墙,あおいダイナーのかべ,True,File:Blue Diner Wall NH Screenshot.jpg,藍色餐館牆_Blue_diner_wall.jpg,images/wallpapers/藍色餐館牆_Blue_diner_wall.webp,https://dodo.ac/np/images/5/5a/Blue_Diner_Wall_NH_Screenshot.jpg,1280,720,256521
Item:Blue flower-print wall (New Horizons),Blue flower-print wall,藍色花紋壁紙,藍色花紋壁紙,蓝色花纹壁纸,ブルーのはながらかべがみ,True,File:Blue Flower-Print Wall NH Screenshot.jpg,藍色花紋壁紙_Blue_flower-print_wall.jpg,images/wallpapers/藍色花紋壁紙_Blue_flower-print_wall.webp,https://dodo.ac/np/images/c/c7/Blue_Flower-Print_Wall_NH_Screenshot.jpg,1280,720,202010
Item:Blue heart-pattern wall (New Horizons),Blue heart-pattern wall,藍色愛心壁紙,藍色愛心壁紙,蓝色爱心壁纸,ブルーハートのかべがみ,True,File:Blue Heart-Pattern Wall NH Screenshot.jpg,藍色愛心壁紙_Blue_heart-pattern_wall.jpg,images/wallpapers/藍色愛心壁紙_Blue_heart-pattern_wall.webp,https://dodo.ac/np/images/0/0a/Blue_Heart-Pattern_Wall_NH_Screenshot.jpg,1280,720,199871
Item:Blue honeycomb-tile wall (New Horizons),Blue honeycomb-tile wall,藍色六角磚牆,藍色六角磚牆,蓝色六角砖墙,あおいハニカムタイルのかべ,True,File:Blue Honeycomb-Tile Wall NH Screenshot.jpg,藍色六角磚牆_Blue_honeycomb-tile_wall.jpg,images/wallpapers/藍色六角磚牆_Blue_honeycomb-tile_wall.webp,https://dodo.ac/np/images/a/ac/Blue_Honeycomb-Tile_Wall_NH_Screenshot.jpg,1280,720,188880
Item:Blue intricate wall (New Horizons),Blue intricate wall,藍色布牆,藍色布牆,蓝色布墙,あおいテキスタイルのかべ,True,File:Blue Intricate Wall NH Screenshot.jpg,藍色布牆_Blue_intricate_wall.jpg,images/wallpapers/藍色布牆_Blue_intricate_wall.webp,https://dodo.ac/np/images/7/79/Blue_Intricate_Wall_NH_Screenshot.jpg,1280,720,187644
Item:Blue molded-panel wall (New Horizons),Blue molded-panel wall,藍色線板牆,藍色線板牆,蓝色线板墙,あおいパネルモールドかべ,True,File:Blue Molded-Panel Wall NH Screenshot.jpg,藍色線板牆_Blue_molded-panel_wall.jpg,images/wallpapers/藍色線板牆_Blue_molded-panel_wall.webp,https://dodo.ac/np/images/a/a4/Blue_Molded-Panel_Wall_NH_Screenshot.jpg,1280,720,154507
Item:Blue Moroccan wall (New Horizons),Blue Moroccan wall,藍色摩洛哥磚牆,藍色摩洛哥磚牆,蓝色摩洛哥砖墙,ブルーのモロッカンタイルかべ,True,File:Blue Moroccan Wall NH Screenshot.jpg,藍色摩洛哥磚牆_Blue_Moroccan_wall.jpg,images/wallpapers/藍色摩洛哥磚牆_Blue_Moroccan_wall.webp,https://dodo.ac/np/images/f/fd/Blue_Moroccan_Wall_NH_Screenshot.jpg,1280,720,309800
Item:Blue Moroccan-style wall (New Horizons),Blue Moroccan-style wall,藍色摩洛哥塗牆,蓝色摩洛哥涂墙,藍色摩洛哥塗牆,ブルーのモロッカンなぬりかべ,False,File:Blue_Moroccan-Style_Wall_NH_Icon.png,藍色摩洛哥塗牆_Blue_Moroccan-style_wall.png,images/wallpapers/藍色摩洛哥塗牆_Blue_Moroccan-style_wall.webp,https://dodo.ac/np/images/0/04/Blue_Moroccan-Style_Wall_NH_Icon.png,128,128,19174
Item:Blue painted-wood wall (New Horizons),Blue painted-wood wall,藍色油漆木牆,藍色油漆木牆,蓝色油漆木墙,あおいペイントウッドのかべ,True,File:Blue Painted-Wood Wall NH Screenshot.jpg,藍色油漆木牆_Blue_painted-wood_wall.jpg,images/wallpapers/藍色油漆木牆_Blue_painted-wood_wall.webp,https://dodo.ac/np/images/9/9b/Blue_Painted-Wood_Wall_NH_Screenshot.jpg,1280,720,178704
Item:Blue playroom wall (New Horizons),Blue playroom wall,藍色兒童房壁紙,藍色兒童房壁紙,蓝色儿童房壁纸,あおいキッズルームのかべがみ,True,File:Blue Playroom Wall NH Screenshot.jpg,藍色兒童房壁紙_Blue_playroom_wall.jpg,images/wallpapers/藍色兒童房壁紙_Blue_playroom_wall.webp,https://dodo.ac/np/images/c/c4/Blue_Playroom_Wall_NH_Screenshot.jpg,1280,720,190704
Item:Blue quilt wall (New Horizons),Blue quilt wall,藍色拼布牆,藍色拼布牆,蓝色拼布墙,ブルーキルトのかべ,True,File:Blue Quilt Wall NH Screenshot.jpg,藍色拼布牆_Blue_quilt_wall.jpg,images/wallpapers/藍色拼布牆_Blue_quilt_wall.webp,https://dodo.ac/np/images/c/c2/Blue_Quilt_Wall_NH_Screenshot.jpg,1280,720,174837
Item:Blue shanty wall (New Horizons),Blue shanty wall,藍色鐵皮牆,藍色鐵皮牆,蓝色铁皮墙,ブルーのトタンかべ,True,File:Blue Shanty Wall NH Screenshot.jpg,藍色鐵皮牆_Blue_shanty_wall.jpg,images/wallpapers/藍色鐵皮牆_Blue_shanty_wall.webp,https://dodo.ac/np/images/3/3b/Blue_Shanty_Wall_NH_Screenshot.jpg,1280,720,178453
Item:Blue simple-cloth wall (New Horizons),Blue simple-cloth wall,藍色簡約布面牆,藍色簡約布面牆,蓝色简约布面墙,あおいシンプルクロス,True,File:Blue Simple-Cloth Wall NH Screenshot.jpg,藍色簡約布面牆_Blue_simple-cloth_wall.jpg,images/wallpapers/藍色簡約布面牆_Blue_simple-cloth_wall.webp,https://dodo.ac/np/images/c/c2/Blue_Simple-Cloth_Wall_NH_Screenshot.jpg,1280,720,135491
Item:Blue subway-tile wall (New Horizons),Blue subway-tile wall,藍色地鐵磚牆,藍色地鐵磚牆,蓝色地铁砖墙,あおいメトロタイルのかべ,True,File:Blue Subway-Tile Wall NH Screenshot.jpg,藍色地鐵磚牆_Blue_subway-tile_wall.jpg,images/wallpapers/藍色地鐵磚牆_Blue_subway-tile_wall.webp,https://dodo.ac/np/images/4/4a/Blue_Subway-Tile_Wall_NH_Screenshot.jpg,1280,720,195553
Item:Blue tile wall (New Horizons),Blue tile wall,藍色磚牆,藍色磚牆,蓝色砖墙,あおいタイルのかべ,True,File:Blue Tile Wall NH Screenshot.jpg,藍色磚牆_Blue_tile_wall.jpg,images/wallpapers/藍色磚牆_Blue_tile_wall.webp,https://dodo.ac/np/images/7/74/Blue_Tile_Wall_NH_Screenshot.jpg,1280,720,200157
Item:Blue two-toned tile wall (New Horizons),Blue two-toned tile wall,藍色撞色磚牆,藍色撞色磚牆,蓝色撞色砖墙,あおいツートンタイルのかべ,True,File:Blue Two-Toned Tile Wall NH Screenshot.jpg,藍色撞色磚牆_Blue_two-toned_tile_wall.jpg,images/wallpapers/藍色撞色磚牆_Blue_two-toned_tile_wall.webp,https://dodo.ac/np/images/1/18/Blue_Two-Toned_Tile_Wall_NH_Screenshot.jpg,1280,720,246974
Item:Blue-crown wall (New Horizons),Blue-crown wall,藍色皇冠壁紙,藍色皇冠壁紙,蓝色皇冠壁纸,ブルークラウンのかべがみ,True,File:Blue-Crown Wall NH Screenshot.jpg,藍色皇冠壁紙_Blue-crown_wall.jpg,images/wallpapers/藍色皇冠壁紙_Blue-crown_wall.webp,https://dodo.ac/np/images/8/87/Blue-Crown_Wall_NH_Screenshot.jpg,1280,720,148866
Item:Blue-paint wall (New Horizons),Blue-paint wall,藍色油漆牆,藍色油漆牆,蓝色油漆墙,あおいペイントウォール,True,File:Blue-Paint Wall NH Screenshot.jpg,藍色油漆牆_Blue-paint_wall.jpg,images/wallpapers/藍色油漆牆_Blue-paint_wall.webp,https://dodo.ac/np/images/9/95/Blue-Paint_Wall_NH_Screenshot.jpg,1280,720,144552
Item:Blue-rose wall (New Horizons),Blue-rose wall,藍色玫瑰壁紙,藍色玫瑰壁紙,蓝色玫瑰壁纸,あおいバラのかべがみ,True,File:Blue-Rose Wall NH Screenshot.jpg,藍色玫瑰壁紙_Blue-rose_wall.jpg,images/wallpapers/藍色玫瑰壁紙_Blue-rose_wall.webp,https://dodo.ac/np/images/9/99/Blue-Rose_Wall_NH_Screenshot.jpg,1280,720,228681
Item:Blue-striped wall (New Horizons),Blue-striped wall,藍色條紋壁紙,藍色條紋壁紙,蓝色条纹壁纸,ブルーストライプのかべがみ,True,File:Blue-Striped Wall NH Screenshot.jpg,藍色條紋壁紙_Blue-striped_wall.jpg,images/wallpapers/藍色條紋壁紙_Blue-striped_wall.webp,https://dodo.ac/np/images/8/88/Blue-Striped_Wall_NH_Screenshot.jpg,1280,720,180731
Item:Botanical-tile wall (New Horizons),Botanical-tile wall,植物圖案磚牆,植物圖案磚牆,植物图案砖墙,ボタニカルタイルのかべ,True,File:Botanical-Tile Wall NH Screenshot.jpg,植物圖案磚牆_Botanical-tile_wall.jpg,images/wallpapers/植物圖案磚牆_Botanical-tile_wall.webp,https://dodo.ac/np/images/2/26/Botanical-Tile_Wall_NH_Screenshot.jpg,1280,720,223061
Item:Brick garden wall (New Horizons),Brick garden wall,磚塊庭園牆,砖块庭院墙,磚塊庭園牆,レンガのにわかべ,False,File:Brick_Garden_Wall_NH_Icon.png,磚塊庭園牆_Brick_garden_wall.png,images/wallpapers/磚塊庭園牆_Brick_garden_wall.webp,https://dodo.ac/np/images/3/32/Brick_Garden_Wall_NH_Icon.png,128,128,22413
Item:Brown botanical-tile wall (New Horizons),Brown botanical-tile wall,棕色植物圖案磚牆,棕色植物圖案磚牆,棕色植物图案砖墙,ブラウンボタニカルタイルのかべ,True,File:Brown Botanical-Tile Wall NH Screenshot.jpg,棕色植物圖案磚牆_Brown_botanical-tile_wall.jpg,images/wallpapers/棕色植物圖案磚牆_Brown_botanical-tile_wall.webp,https://dodo.ac/np/images/0/02/Brown_Botanical-Tile_Wall_NH_Screenshot.jpg,1280,720,188222
Item:Brown diner wall (New Horizons),Brown diner wall,茶色餐館牆,茶色餐館牆,茶色餐馆墙,ちゃいろいダイナーのかべ,True,File:Brown Diner Wall NH Screenshot.jpg,茶色餐館牆_Brown_diner_wall.jpg,images/wallpapers/茶色餐館牆_Brown_diner_wall.webp,https://dodo.ac/np/images/c/c5/Brown_Diner_Wall_NH_Screenshot.jpg,1280,720,251705
Item:Brown hallway wall (New Horizons),Brown hallway wall,茶色大廳牆,茶色大廳牆,茶色大厅墙,ちゃいろいホールのかべ,True,File:Brown Hallway Wall NH Screenshot.jpg,茶色大廳牆_Brown_hallway_wall.jpg,images/wallpapers/茶色大廳牆_Brown_hallway_wall.webp,https://dodo.ac/np/images/6/6e/Brown_Hallway_Wall_NH_Screenshot.jpg,1280,720,198211
Item:Brown herringbone wall (New Horizons),Brown herringbone wall,茶色人字斜紋牆,茶色人字斜紋牆,茶色人字斜纹墙,ちゃいろいヘリンボーンのかべ,True,File:Brown Herringbone Wall NH Screenshot.jpg,茶色人字斜紋牆_Brown_herringbone_wall.jpg,images/wallpapers/茶色人字斜紋牆_Brown_herringbone_wall.webp,https://dodo.ac/np/images/c/c9/Brown_Herringbone_Wall_NH_Screenshot.jpg,1280,720,222120
Item:Brown shanty wall (New Horizons),Brown shanty wall,褐色鐵皮牆,褐色鐵皮牆,褐色铁皮墙,ちゃいろのトタンかべ,True,File:Brown Shanty Wall NH Screenshot.jpg,褐色鐵皮牆_Brown_shanty_wall.jpg,images/wallpapers/褐色鐵皮牆_Brown_shanty_wall.webp,https://dodo.ac/np/images/4/45/Brown_Shanty_Wall_NH_Screenshot.jpg,1280,720,157650
Item:Brown wedding wall (New Horizons),Brown wedding wall,棕色婚禮牆,棕色婚禮牆,茶色婚礼墙,ウェディングなかべ・ブラウン,True,File:Brown Wedding Wall NH Screenshot.jpg,棕色婚禮牆_Brown_wedding_wall.jpg,images/wallpapers/棕色婚禮牆_Brown_wedding_wall.webp,https://dodo.ac/np/images/1/1b/Brown_Wedding_Wall_NH_Screenshot.jpg,1280,720,227640
Item:Brown-brick wall (New Horizons),Brown-brick wall,茶色磚塊牆,茶色磚塊牆,茶色砖块墙,ちゃいろいレンガのかべ,True,File:Brown-Brick Wall NH Screenshot.jpg,茶色磚塊牆_Brown-brick_wall.jpg,images/wallpapers/茶色磚塊牆_Brown-brick_wall.webp,https://dodo.ac/np/images/6/67/Brown-Brick_Wall_NH_Screenshot.jpg,1280,720,222054
Item:Brown-crown wall (New Horizons),Brown-crown wall,棕色皇冠壁紙,棕色皇冠壁紙,棕色皇冠壁纸,ブラウンクラウンのかべがみ,True,File:Brown-Crown Wall NH Screenshot.jpg,棕色皇冠壁紙_Brown-crown_wall.jpg,images/wallpapers/棕色皇冠壁紙_Brown-crown_wall.webp,https://dodo.ac/np/images/1/17/Brown-Crown_Wall_NH_Screenshot.jpg,1280,720,136415
Item:Bunny Day wall (New Horizons),Bunny Day wall,復活節壁紙,復活節壁紙,复活节壁纸,イースターなかべがみ,True,File:Bunny Day Wall NH Screenshot.jpg,復活節壁紙_Bunny_Day_wall.jpg,images/wallpapers/復活節壁紙_Bunny_Day_wall.webp,https://dodo.ac/np/images/2/2d/Bunny_Day_Wall_NH_Screenshot.jpg,1280,720,183954
Item:Butterflies wall (New Horizons),Butterflies wall,蝴蝶壁紙,蝴蝶壁紙,蝴蝶壁纸,バタフライなかべがみ,True,File:Butterflies Wall NH Screenshot.jpg,蝴蝶壁紙_Butterflies_wall.jpg,images/wallpapers/蝴蝶壁紙_Butterflies_wall.webp,https://dodo.ac/np/images/e/ef/Butterflies_Wall_NH_Screenshot.jpg,1280,720,222249
Item:Cabin wall (New Horizons),Cabin wall,木屋牆,木屋牆,木屋墙,ログハウスのかべ,True,File:Cabin Wall NH Screenshot.jpg,木屋牆_Cabin_wall.jpg,images/wallpapers/木屋牆_Cabin_wall.webp,https://dodo.ac/np/images/e/e9/Cabin_Wall_NH_Screenshot.jpg,1280,720,160913
Item:Café-curtain wall (New Horizons),Café-curtain wall,咖啡店窗簾牆,咖啡店窗簾牆,咖啡店窗帘墙,カフェカーテンのかべ,True,File:Café-Curtain Wall NH Screenshot.jpg,咖啡店窗簾牆_Café-curtain_wall.jpg,images/wallpapers/咖啡店窗簾牆_Café-curtain_wall.webp,https://dodo.ac/np/images/7/7e/Caf%C3%A9-Curtain_Wall_NH_Screenshot.jpg,1280,720,197539
Item:Camo wall (New Horizons),Camo wall,迷彩壁紙,迷彩壁紙,迷彩壁纸,めいさいのかべがみ,True,File:Camo Wall NH Screenshot.jpg,迷彩壁紙_Camo_wall.jpg,images/wallpapers/迷彩壁紙_Camo_wall.webp,https://dodo.ac/np/images/1/11/Camo_Wall_NH_Screenshot.jpg,1280,720,183077
