name_zh,name_en,name_ja,has_in_game_screenshot,width,height,filesize,target_media_file,local_filename,local_rel_path,image_url
藍色六角磚地板,Blue honeycomb tile,ブルーハニカムタイルのゆか,True,1280,720,238001,File:Blue Honeycomb Tile NH Screenshot.jpg,藍色六角磚地板_Blue_honeycomb_tile.jpg,images/floors/藍色六角磚地板_Blue_honeycomb_tile.jpg,https://dodo.ac/np/images/3/3e/Blue_Honeycomb_Tile_NH_Screenshot.jpg
藍色摩洛哥磚地板,Blue Moroccan flooring,ブルーのモロッカンタイルゆか,True,1280,720,324422,File:Blue Moroccan Flooring NH Screenshot.jpg,藍色摩洛哥磚地板_Blue_Moroccan_flooring.jpg,images/floors/藍色摩洛哥磚地板_Blue_Moroccan_flooring.jpg,https://dodo.ac/np/images/b/bd/Blue_Moroccan_Flooring_NH_Screenshot.jpg
藍色馬賽克磚地板,Blue mosaic-tile flooring,ブルーモザイクタイルのゆか,True,1280,720,245615,File:Blue Mosaic-Tile Flooring NH Screenshot.jpg,藍色馬賽克磚地板_Blue_mosaic-tile_flooring.jpg,images/floors/藍色馬賽克磚地板_Blue_mosaic-tile_flooring.jpg,https://dodo.ac/np/images/2/26/Blue_Mosaic-Tile_Flooring_NH_Screenshot.jpg
藍色塑膠地板,Blue rubber flooring,ブルーラバーのゆか,True,1280,720,171569,File:Blue Rubber Flooring NH Screenshot.jpg,藍色塑膠地板_Blue_rubber_flooring.jpg,images/floors/藍色塑膠地板_Blue_rubber_flooring.jpg,https://dodo.ac/np/images/5/53/Blue_Rubber_Flooring_NH_Screenshot.jpg
藍色油漆地板,Blue-paint flooring,あおいペイントフローリング,True,1280,720,200701,File:Blue-Paint Flooring NH Screenshot.jpg,藍色油漆地板_Blue-paint_flooring.jpg,images/floors/藍色油漆地板_Blue-paint_flooring.jpg,https://dodo.ac/np/images/b/bd/Blue-Paint_Flooring_NH_Screenshot.jpg
職業摔角地板,Boxing-ring mat,プロレスのゆか,True,1280,720,219803,File:Boxing-Ring Mat NH Screenshot.jpg,職業摔角地板_Boxing-ring_mat.jpg,images/floors/職業摔角地板_Boxing-ring_mat.jpg,https://dodo.ac/np/images/a/af/Boxing-Ring_Mat_NH_Screenshot.jpg
腐朽石板地板,Broken stone-path flooring,くちたいしだたみのゆか,False,128,128,17954,File:Broken_Stone-Path_Flooring_NH_Icon.png,腐朽石板地板_Broken_stone-path_flooring.png,images/floors/腐朽石板地板_Broken_stone-path_flooring.png,https://dodo.ac/np/images/6/69/Broken_Stone-Path_Flooring_NH_Icon.png
棕色菱格紋磚地板,Brown argyle-tile flooring,ブラウンのアーガイルタイルゆか,True,1280,720,197772,File:Brown Argyle-Tile Flooring NH Screenshot.jpg,棕色菱格紋磚地板_Brown_argyle-tile_flooring.jpg,images/floors/棕色菱格紋磚地板_Brown_argyle-tile_flooring.jpg,https://dodo.ac/np/images/e/ec/Brown_Argyle-Tile_Flooring_NH_Screenshot.jpg
茶色花朵地板,Brown floral flooring,ちゃいろいフラワーフローリング,True,1280,720,274954,File:Brown Floral Flooring NH Screenshot.jpg,茶色花朵地板_Brown_floral_flooring.jpg,images/floors/茶色花朵地板_Brown_floral_flooring.jpg,https://dodo.ac/np/images/6/66/Brown_Floral_Flooring_NH_Screenshot.jpg
棕色六角磚地板,Brown honeycomb tile,ブラウンハニカムタイルのゆか,True,1280,720,241223,File:Brown Honeycomb Tile NH Screenshot.jpg,棕色六角磚地板_Brown_honeycomb_tile.jpg,images/floors/棕色六角磚地板_Brown_honeycomb_tile.jpg,https://dodo.ac/np/images/d/d4/Brown_Honeycomb_Tile_NH_Screenshot.jpg
銀色鑄鐵拼花地板,Brown iron-parquet flooring,ぎんのアイアンパーケットのゆか,True,1280,720,215570,File:Brown Iron-Parquet Flooring NH Screenshot.jpg,銀色鑄鐵拼花地板_Brown_iron-parquet_flooring.jpg,images/floors/銀色鑄鐵拼花地板_Brown_iron-parquet_flooring.jpg,https://dodo.ac/np/images/6/66/Brown_Iron-Parquet_Flooring_NH_Screenshot.jpg
婚禮棕色磚地板,Brown wedding flooring,ウェディングなブラウンタイル,True,1280,720,184595,File:Brown Wedding Flooring NH Screenshot.jpg,婚禮棕色磚地板_Brown_wedding_flooring.jpg,images/floors/婚禮棕色磚地板_Brown_wedding_flooring.jpg,https://dodo.ac/np/images/c/c6/Brown_Wedding_Flooring_NH_Screenshot.jpg
茶色磚塊地板,Brown-brick flooring,ちゃいろいレンガのゆか,True,1280,720,216295,File:Brown-Brick Flooring NH Screenshot.jpg,茶色磚塊地板_Brown-brick_flooring.jpg,images/floors/茶色磚塊地板_Brown-brick_flooring.jpg,https://dodo.ac/np/images/6/61/Brown-Brick_Flooring_NH_Screenshot.jpg
復活節地板,Bunny Day flooring,イースターなゆか,True,1280,720,200528,File:Bunny Day Flooring NH Screenshot.jpg,復活節地板_Bunny_Day_flooring.jpg,images/floors/復活節地板_Bunny_Day_flooring.jpg,https://dodo.ac/np/images/5/59/Bunny_Day_Flooring_NH_Screenshot.jpg
迷彩地板,Camo flooring,めいさいのゆか,True,1280,720,240592,File:Camo Flooring NH Screenshot.jpg,迷彩地板_Camo_flooring.jpg,images/floors/迷彩地板_Camo_flooring.jpg,https://dodo.ac/np/images/e/e4/Camo_Flooring_NH_Screenshot.jpg
櫻花地板,Cherry-blossom flooring,さくらのじゅうたん,True,1280,720,420258,File:Cherry-Blossom Flooring NH Screenshot.jpg,櫻花地板_Cherry-blossom_flooring.jpg,images/floors/櫻花地板_Cherry-blossom_flooring.jpg,https://dodo.ac/np/images/2/26/Cherry-Blossom_Flooring_NH_Screenshot.jpg
LEGO®地板・典雅,Chic LEGO® flooring,LEGO®のゆか・シック,False,128,128,9095,File:Chic_LEGO®_Flooring_NH_Icon.png,LEGO®地板・典雅_Chic_LEGO®_flooring.png,images/floors/LEGO®地板・典雅_Chic_LEGO®_flooring.png,https://dodo.ac/np/images/5/54/Chic_LEGO%C2%AE_Flooring_NH_Icon.png
Cinnamoroll地板,Cinnamoroll flooring,シナモロールなゆか,True,1280,720,221382,File:Cinnamoroll Flooring NH Screenshot.jpg,Cinnamoroll地板_Cinnamoroll_flooring.jpg,images/floors/Cinnamoroll地板_Cinnamoroll_flooring.jpg,https://dodo.ac/np/images/e/ec/Cinnamoroll_Flooring_NH_Screenshot.jpg
主機板地板,Circuit-board flooring,きばんのゆか,True,1280,720,255007,File:Circuit-Board Flooring NH Screenshot.jpg,主機板地板_Circuit-board_flooring.jpg,images/floors/主機板地板_Circuit-board_flooring.jpg,https://dodo.ac/np/images/4/4f/Circuit-Board_Flooring_NH_Screenshot.jpg
馬戲團地板,Circus flooring,サーカスのゆか,False,128,128,17083,File:Circus_Flooring_NH_Icon.png,馬戲團地板_Circus_flooring.png,images/floors/馬戲團地板_Circus_flooring.png,https://dodo.ac/np/images/c/c7/Circus_Flooring_NH_Icon.png
雲上風景,Cloud flooring,くものうえ,True,1280,720,170598,File:Cloud Flooring NH Screenshot.jpg,雲上風景_Cloud_flooring.jpg,images/floors/雲上風景_Cloud_flooring.jpg,https://dodo.ac/np/images/2/2c/Cloud_Flooring_NH_Screenshot.jpg
俱樂部地板,Club flooring,クラブのゆか,False,128,128,16317,File:Club_Flooring_NH_Icon.png,俱樂部地板_Club_flooring.png,images/floors/俱樂部地板_Club_flooring.png,https://dodo.ac/np/images/3/3d/Club_Flooring_NH_Icon.png
楓葉地板,Colored-leaves flooring,こうようのゆか,True,1280,720,392672,File:Colored-Leaves Flooring NH Screenshot.jpg,楓葉地板_Colored-leaves_flooring.jpg,images/floors/楓葉地板_Colored-leaves_flooring.jpg,https://dodo.ac/np/images/3/33/Colored-Leaves_Flooring_NH_Screenshot.jpg
LEGO®地板・彩色,Colorful LEGO® flooring,LEGO®のゆか・カラフル,False,128,128,11764,File:Colorful_LEGO®_Flooring_NH_Icon.png,LEGO®地板・彩色_Colorful_LEGO®_flooring.png,images/floors/LEGO®地板・彩色_Colorful_LEGO®_flooring.png,https://dodo.ac/np/images/2/2a/Colorful_LEGO%C2%AE_Flooring_NH_Icon.png
彩色馬賽克磚地板,Colorful mosaic-tile flooring,カラフルモザイクタイルのゆか,True,1280,720,241386,File:Colorful Mosaic-Tile Flooring NH Screenshot.jpg,彩色馬賽克磚地板_Colorful_mosaic-tile_flooring.jpg,images/floors/彩色馬賽克磚地板_Colorful_mosaic-tile_flooring.jpg,https://dodo.ac/np/images/c/c2/Colorful_Mosaic-Tile_Flooring_NH_Screenshot.jpg
彩色巧拼地板,Colorful puzzle flooring,カラフルパズルのゆか,True,1280,720,278689,File:Colorful Puzzle Flooring NH Screenshot.jpg,彩色巧拼地板_Colorful_puzzle_flooring.jpg,images/floors/彩色巧拼地板_Colorful_puzzle_flooring.jpg,https://dodo.ac/np/images/4/4d/Colorful_Puzzle_Flooring_NH_Screenshot.jpg
彩色拼接地板,Colorful tile flooring,カラフルパネルカーペット,True,1280,720,256108,File:Colorful Tile Flooring NH Screenshot.jpg,彩色拼接地板_Colorful_tile_flooring.jpg,images/floors/彩色拼接地板_Colorful_tile_flooring.jpg,https://dodo.ac/np/images/5/52/Colorful_Tile_Flooring_NH_Screenshot.jpg
常見地板,Common flooring,よくあるゆかいた,True,1280,720,177646,File:Common Flooring NH Screenshot.jpg,常見地板_Common_flooring.jpg,images/floors/常見地板_Common_flooring.jpg,https://dodo.ac/np/images/3/3f/Common_Flooring_NH_Screenshot.jpg
混凝土地板,Concrete flooring,コンクリートのゆか,True,1280,720,178213,File:Concrete Flooring NH Screenshot.jpg,混凝土地板_Concrete_flooring.jpg,images/floors/混凝土地板_Concrete_flooring.jpg,https://dodo.ac/np/images/3/34/Concrete_Flooring_NH_Screenshot.jpg
施工現場地板,Construction-site flooring,こうじげんばのゆか,True,1280,720,241910,File:Construction-Site Flooring NH Screenshot.jpg,施工現場地板_Construction-site_flooring.jpg,images/floors/施工現場地板_Construction-site_flooring.jpg,https://dodo.ac/np/images/a/a0/Construction-Site_Flooring_NH_Screenshot.jpg
酷感塑膠磚地板,Cool vinyl flooring,クールなピータイル,True,1280,720,161009,File:Cool Vinyl Flooring NH Screenshot.jpg,酷感塑膠磚地板_Cool_vinyl_flooring.jpg,images/floors/酷感塑膠磚地板_Cool_vinyl_flooring.jpg,https://dodo.ac/np/images/8/8b/Cool_Vinyl_Flooring_NH_Screenshot.jpg
酷感油漆地板,Cool-paint flooring,クールなペイントフローリング,True,1280,720,209203,File:Cool-Paint Flooring NH Screenshot.jpg,酷感油漆地板_Cool-paint_flooring.jpg,images/floors/酷感油漆地板_Cool-paint_flooring.jpg,https://dodo.ac/np/images/7/70/Cool-Paint_Flooring_NH_Screenshot.jpg
軟木地板,Cork flooring,コルクフローリング,True,1280,720,230639,File:Cork Flooring NH Screenshot.jpg,軟木地板_Cork_flooring.jpg,images/floors/軟木地板_Cork_flooring.jpg,https://dodo.ac/np/images/b/b3/Cork_Flooring_NH_Screenshot.jpg
麥田圈地板,Crop-circles flooring,ミステリーサークルなゆか,True,1280,720,374226,File:Crop-Circles Flooring NH Screenshot.jpg,麥田圈地板_Crop-circles_flooring.jpg,images/floors/麥田圈地板_Crop-circles_flooring.jpg,https://dodo.ac/np/images/0/0c/Crop-Circles_Flooring_NH_Screenshot.jpg
斑馬線地板,Crosswalk flooring,おうだんほどうのゆか,True,1280,720,247827,File:Crosswalk Flooring NH Screenshot.jpg,斑馬線地板_Crosswalk_flooring.jpg,images/floors/斑馬線地板_Crosswalk_flooring.jpg,https://dodo.ac/np/images/2/22/Crosswalk_Flooring_NH_Screenshot.jpg
立方嵌木地板,Cubic parquet flooring,キュービックなよせぎのゆか,True,1280,720,235918,File:Cubic Parquet Flooring NH Screenshot.jpg,立方嵌木地板_Cubic_parquet_flooring.jpg,images/floors/立方嵌木地板_Cubic_parquet_flooring.jpg,https://dodo.ac/np/images/8/81/Cubic_Parquet_Flooring_NH_Screenshot.jpg
藍色可愛磁磚地板,Cute blue-tile flooring,ブルーのキュートなフロアタイル,True,1280,720,165160,File:Cute Blue-Tile Flooring NH Screenshot.jpg,藍色可愛磁磚地板_Cute_blue-tile_flooring.jpg,images/floors/藍色可愛磁磚地板_Cute_blue-tile_flooring.jpg,https://dodo.ac/np/images/8/85/Cute_Blue-Tile_Flooring_NH_Screenshot.jpg
LEGO®地板・可愛,Cute LEGO® flooring,LEGO®のゆか・キュート,False,128,128,8105,File:Cute_LEGO®_Flooring_NH_Icon.png,LEGO®地板・可愛_Cute_LEGO®_flooring.png,images/floors/LEGO®地板・可愛_Cute_LEGO®_flooring.png,https://dodo.ac/np/images/3/32/Cute_LEGO%C2%AE_Flooring_NH_Icon.png
紅色可愛磁磚地板,Cute red-tile flooring,あかいキュートなフロアタイル,True,1280,720,154380,File:Cute Red-Tile Flooring NH Screenshot.jpg,紅色可愛磁磚地板_Cute_red-tile_flooring.jpg,images/floors/紅色可愛磁磚地板_Cute_red-tile_flooring.jpg,https://dodo.ac/np/images/1/1b/Cute_Red-Tile_Flooring_NH_Screenshot.jpg
白色可愛磁磚地板,Cute white-tile flooring,しろいキュートなフロアタイル,True,1280,720,175362,File:Cute White-Tile Flooring NH Screenshot.jpg,白色可愛磁磚地板_Cute_white-tile_flooring.jpg,images/floors/白色可愛磁磚地板_Cute_white-tile_flooring.jpg,https://dodo.ac/np/images/a/a1/Cute_White-Tile_Flooring_NH_Screenshot.jpg
黃色可愛磁磚地板,Cute yellow-tile flooring,きいろいキュートなフロアタイル,True,1280,720,161490,File:Cute Yellow-Tile Flooring NH Screenshot.jpg,黃色可愛磁磚地板_Cute_yellow-tile_flooring.jpg,images/floors/黃色可愛磁磚地板_Cute_yellow-tile_flooring.jpg,https://dodo.ac/np/images/0/00/Cute_Yellow-Tile_Flooring_NH_Screenshot.jpg
可愛油漆地板,Cute-paint flooring,キュートなペイントフローリング,True,1280,720,213352,File:Cute-Paint Flooring NH Screenshot.jpg,可愛油漆地板_Cute-paint_flooring.jpg,images/floors/可愛油漆地板_Cute-paint_flooring.jpg,https://dodo.ac/np/images/3/37/Cute-Paint_Flooring_NH_Screenshot.jpg
草原地板,Daisy meadow,そうげんのゆか,True,1280,720,332757,File:Daisy Meadow NH Screenshot.jpg,草原地板_Daisy_meadow.jpg,images/floors/草原地板_Daisy_meadow.jpg,https://dodo.ac/np/images/7/74/Daisy_Meadow_NH_Screenshot.jpg
深色人字斜紋地板,Dark herringbone flooring,ダークなヘリンボーンのゆか,True,1280,720,206830,File:Dark Herringbone Flooring NH Screenshot.jpg,深色人字斜紋地板_Dark_herringbone_flooring.jpg,images/floors/深色人字斜紋地板_Dark_herringbone_flooring.jpg,https://dodo.ac/np/images/7/7f/Dark_Herringbone_Flooring_NH_Screenshot.jpg
深色拼花地板,Dark parquet flooring,ダークなパーケットフローリング,True,1280,720,200111,File:Dark Parquet Flooring NH Screenshot.jpg,深色拼花地板_Dark_parquet_flooring.jpg,images/floors/深色拼花地板_Dark_parquet_flooring.jpg,https://dodo.ac/np/images/6/6d/Dark_Parquet_Flooring_NH_Screenshot.jpg
深色嵌木地板,Dark wood-pattern flooring,ダークなよせぎざいくのゆか,True,1280,720,204335,File:Dark Wood-Pattern Flooring NH Screenshot.jpg,深色嵌木地板_Dark_wood-pattern_flooring.jpg,images/floors/深色嵌木地板_Dark_wood-pattern_flooring.jpg,https://dodo.ac/np/images/8/84/Dark_Wood-Pattern_Flooring_NH_Screenshot.jpg
深色地板磚塊,Dark-block flooring,ダークなフローリングブロック,True,1280,720,169793,File:Dark-Block Flooring NH Screenshot.jpg,深色地板磚塊_Dark-block_flooring.jpg,images/floors/深色地板磚塊_Dark-block_flooring.jpg,https://dodo.ac/np/images/e/e5/Dark-Block_Flooring_NH_Screenshot.jpg
黑巧克力地板,Dark-chocolates flooring,ビターチョコアソートなゆか,True,1280,720,199588,File:Dark-Chocolates Flooring NH Screenshot.jpg,黑巧克力地板_Dark-chocolates_flooring.jpg,images/floors/黑巧克力地板_Dark-chocolates_flooring.jpg,https://dodo.ac/np/images/e/e9/Dark-Chocolates_Flooring_NH_Screenshot.jpg
地底地板,Dig-site flooring,ちていのゆか,True,1280,720,206492,File:Dig-Site Flooring NH Screenshot.jpg,地底地板_Dig-site_flooring.jpg,images/floors/地底地板_Dig-site_flooring.jpg,https://dodo.ac/np/images/a/a5/Dig-Site_Flooring_NH_Screenshot.jpg
土壤地板,Dirt flooring,つちのゆか,True,1280,720,206484,File:Dirt Flooring NH Screenshot.jpg,土壤地板_Dirt_flooring.jpg,images/floors/土壤地板_Dirt_flooring.jpg,https://dodo.ac/np/images/7/75/Dirt_Flooring_NH_Screenshot.jpg
快餐地板,Fast-food flooring,ファストフードなゆか,False,128,128,20876,File:Fast-Food_Flooring_NH_Icon.png,快餐地板_Fast-food_flooring.png,images/floors/快餐地板_Fast-food_flooring.png,https://dodo.ac/np/images/b/b7/Fast-Food_Flooring_NH_Icon.png
旱田地板,Field flooring,はたけのゆか,True,1280,720,277737,File:Field Flooring NH Screenshot.jpg,旱田地板_Field_flooring.jpg,images/floors/旱田地板_Field_flooring.jpg,https://dodo.ac/np/images/c/c9/Field_Flooring_NH_Screenshot.jpg
石板地板,Flagstone flooring,フラッグストーンなゆか,True,1280,720,272547,File:Flagstone Flooring NH Screenshot.jpg,石板地板_Flagstone_flooring.jpg,images/floors/石板地板_Flagstone_flooring.jpg,https://dodo.ac/np/images/d/df/Flagstone_Flooring_NH_Screenshot.jpg
花式馬賽克磚,Floral mosaic-tile flooring,フローラルなモザイクタイル,True,1280,720,316526,File:Floral Mosaic-Tile Flooring NH Screenshot.jpg,花式馬賽克磚_Floral_mosaic-tile_flooring.jpg,images/floors/花式馬賽克磚_Floral_mosaic-tile_flooring.jpg,https://dodo.ac/np/images/0/05/Floral_Mosaic-Tile_Flooring_NH_Screenshot.jpg
花紋草蓆,Floral rush-mat flooring,はなござ,True,1280,720,297865,File:Floral Rush-Mat Flooring NH Screenshot.jpg,花紋草蓆_Floral_rush-mat_flooring.jpg,images/floors/花紋草蓆_Floral_rush-mat_flooring.jpg,https://dodo.ac/np/images/a/ac/Floral_Rush-Mat_Flooring_NH_Screenshot.jpg
河流地板,Flowing-river flooring,かわのながれるゆか,True,1280,720,259679,File:Flowing-River Flooring NH Screenshot.jpg,河流地板_Flowing-river_flooring.jpg,images/floors/河流地板_Flowing-river_flooring.jpg,https://dodo.ac/np/images/5/53/Flowing-River_Flooring_NH_Screenshot.jpg
蘑菇森林地板,Forest flooring,キノコのもりのゆか,True,1280,720,322493,File:Forest Flooring NH Screenshot.jpg,蘑菇森林地板_Forest_flooring.jpg,images/floors/蘑菇森林地板_Forest_flooring.jpg,https://dodo.ac/np/images/4/49/Forest_Flooring_NH_Screenshot.jpg
超科技地板,Future-tech flooring,オーバーテクノロジーなゆか,True,1280,720,200076,File:Future-Tech Flooring NH Screenshot.jpg,超科技地板_Future-tech_flooring.jpg,images/floors/超科技地板_Future-tech_flooring.jpg,https://dodo.ac/np/images/0/04/Future-Tech_Flooring_NH_Screenshot.jpg
銀河系地板,Galaxy flooring,ぎんがけいのゆか,True,1280,720,189072,File:Galaxy Flooring NH Screenshot.jpg,銀河系地板_Galaxy_flooring.jpg,images/floors/銀河系地板_Galaxy_flooring.jpg,https://dodo.ac/np/images/8/82/Galaxy_Flooring_NH_Screenshot.jpg
垃圾堆地板,Garbage-heap flooring,おへやのゆか,True,1280,720,286919,File:Garbage-Heap Flooring NH Screenshot.jpg,垃圾堆地板_Garbage-heap_flooring.jpg,images/floors/垃圾堆地板_Garbage-heap_flooring.jpg,https://dodo.ac/np/images/4/4a/Garbage-Heap_Flooring_NH_Screenshot.jpg
長頸鹿紋地板,Giraffe-print flooring,ジラフなゆか,True,1280,720,235661,File:Giraffe-Print Flooring NH Screenshot.jpg,長頸鹿紋地板_Giraffe-print_flooring.jpg,images/floors/長頸鹿紋地板_Giraffe-print_flooring.jpg,https://dodo.ac/np/images/a/a4/Giraffe-Print_Flooring_NH_Screenshot.jpg
光蘚森林地板,Glowing-moss flooring,ヒカリゴケのもりのゆか,False,128,128,18100,File:Glowing-Moss_Flooring_NH_Icon.png,光蘚森林地板_Glowing-moss_flooring.png,images/floors/光蘚森林地板_Glowing-moss_flooring.png,https://dodo.ac/np/images/5/50/Glowing-Moss_Flooring_NH_Icon.png
金色鑄鐵拼花地板,Gold iron-parquet flooring,きんのアイアンパーケットのゆか,True,1280,720,212638,File:Gold Iron-Parquet Flooring NH Screenshot.jpg,金色鑄鐵拼花地板_Gold_iron-parquet_flooring.jpg,images/floors/金色鑄鐵拼花地板_Gold_iron-parquet_flooring.jpg,https://dodo.ac/np/images/c/c0/Gold_Iron-Parquet_Flooring_NH_Screenshot.jpg
黃金地板,Golden flooring,おうごんのゆか,True,1280,720,277973,File:Golden Flooring NH Screenshot.jpg,黃金地板_Golden_flooring.jpg,images/floors/黃金地板_Golden_flooring.jpg,https://dodo.ac/np/images/7/78/Golden_Flooring_NH_Screenshot.jpg
碎石地板,Gravel flooring,たまじゃりのゆか,True,1280,720,287600,File:Gravel Flooring NH Screenshot.jpg,碎石地板_Gravel_flooring.jpg,images/floors/碎石地板_Gravel_flooring.jpg,https://dodo.ac/np/images/b/bf/Gravel_Flooring_NH_Screenshot.jpg
灰色菱格紋磚地板,Gray argyle-tile flooring,グレーのアーガイルタイルゆか,True,1280,720,191712,File:Gray Argyle-Tile Flooring NH Screenshot.jpg,灰色菱格紋磚地板_Gray_argyle-tile_flooring.jpg,images/floors/灰色菱格紋磚地板_Gray_argyle-tile_flooring.jpg,https://dodo.ac/np/images/4/47/Gray_Argyle-Tile_Flooring_NH_Screenshot.jpg
灰階配色塑膠磚地板,Gray vinyl flooring,モノクロピータイル,True,1280,720,172677,File:Gray Vinyl Flooring NH Screenshot.jpg,灰階配色塑膠磚地板_Gray_vinyl_flooring.jpg,images/floors/灰階配色塑膠磚地板_Gray_vinyl_flooring.jpg,https://dodo.ac/np/images/f/f1/Gray_Vinyl_Flooring_NH_Screenshot.jpg
