name_zh,name_en,name_ja,local_filename,image_url
鰻鯰區牆,Eeltail Alley wall,ゴンズイちくのかべ,鰻鯰區牆_Eeltail_Alley_wall.png,https://dodo.ac/np/images/3/34/Eeltail_Alley_Wall_NH_Icon.png
冷凍展示櫃牆,Frozen-foods freezer wall,れいとうショーケースのかべ,冷凍展示櫃牆_Frozen-foods_freezer_wall.png,https://dodo.ac/np/images/1/19/Frozen-Foods_Freezer_Wall_NH_Icon.png
光蘚洞穴牆,Glowing-moss cave wall,ヒカリゴケのどうくつのかべ,光蘚洞穴牆_Glowing-moss_cave_wall.png,https://dodo.ac/np/images/0/0e/Glowing-Moss_Cave_Wall_NH_Icon.png
光蘚森林牆,Glowing-moss forest wall,ヒカリゴケのもりのかべ,光蘚森林牆_Glowing-moss_forest_wall.png,https://dodo.ac/np/images/9/91/Glowing-Moss_Forest_Wall_NH_Icon.png
光蘚遺跡牆,Glowing-moss ruins wall,ヒカリゴケのいせきのかべ,光蘚遺跡牆_Glowing-moss_ruins_wall.png,https://dodo.ac/np/images/4/40/Glowing-Moss_Ruins_Wall_NH_Icon.png
墓地牆,Graveyard wall,はかばのかべ,墓地牆_Graveyard_wall.png,https://dodo.ac/np/images/d/d2/Graveyard_Wall_NH_Icon.png
灰色置物櫃房間牆,Gray locker-room wall,グレーのロッカールームのかべ,灰色置物櫃房間牆_Gray_locker-room_wall.png,https://dodo.ac/np/images/d/da/Gray_Locker-Room_Wall_NH_Icon.png
灰色架子牆,Gray-shelving wall,グレーのシェルフのかべ,灰色架子牆_Gray-shelving_wall.png,https://dodo.ac/np/images/d/d5/Gray-Shelving_Wall_NH_Icon.png
溫室牆,Greenhouse wall,おんしつのかべ,溫室牆_Greenhouse_wall.png,https://dodo.ac/np/images/a/a9/Greenhouse_Wall_NH_Icon.png
走廊牆,Hallway wall,ろうかのかべ,走廊牆_Hallway_wall.png,https://dodo.ac/np/images/5/5f/Hallway_Wall_NH_Icon.png
冰淇淋店牆,Ice-cream-shoppe wall,アイスクリームショップのかべ,冰淇淋店牆_Ice-cream-shoppe_wall.png,https://dodo.ac/np/images/8/81/Ice-Cream-Shoppe_Wall_NH_Icon.png
克洛格森林牆,Korok Forest wall,コログのもりのかべ,克洛格森林牆_Korok_Forest_wall.png,https://dodo.ac/np/images/5/55/Korok_Forest_Wall_NH_Icon.png
鐘乳洞牆,Limestone-cave wall,しょうにゅうどうのかべ,鐘乳洞牆_Limestone-cave_wall.png,https://dodo.ac/np/images/b/b2/Limestone-Cave_Wall_NH_Icon.png
LEGO®牆・摩登,Modern LEGO® wall,LEGO®のかべ・モダン,LEGO牆・摩登_Modern_LEGO_wall.png,https://dodo.ac/np/images/9/99/Modern_LEGO%C2%AE_Wall_NH_Icon.png
博物館牆,Museum wall,ミュージアムなかべ,博物館牆_Museum_wall.png,https://dodo.ac/np/images/2/2a/Museum_Wall_NH_Icon.png
手術室牆,Operating-room wall,しゅじゅつしつのかべ,手術室牆_Operating-room_wall.png,https://dodo.ac/np/images/9/99/Operating-Room_Wall_NH_Icon.png
橘色摩洛哥塗牆,Orange Moroccan-style wall,オレンジのモロッカンなぬりかべ,橘色摩洛哥塗牆_Orange_Moroccan-style_wall.png,https://dodo.ac/np/images/0/0c/Orange_Moroccan-Style_Wall_NH_Icon.png
附窗戶的外牆,Outdoor-window wall,まどつきのそとかべ,附窗戶的外牆_Outdoor-window_wall.png,https://dodo.ac/np/images/9/93/Outdoor-Window_Wall_NH_Icon.png
巧美生活壁紙,Paradise Planning wall,タクミライフのかべがみ,巧美生活壁紙_Paradise_Planning_wall.png,https://dodo.ac/np/images/1/16/Paradise_Planning_Wall_NH_Icon.png
肉球壁紙,Paw-print wall,にくきゅうなかべがみ,肉球壁紙_Paw-print_wall.png,https://dodo.ac/np/images/f/f6/Paw-Print_Wall_NH_Icon.png
藥品架牆,Pharmacy-shelving wall,やくひんだなのかべ,藥品架牆_Pharmacy-shelving_wall.png,https://dodo.ac/np/images/d/d7/Pharmacy-Shelving_Wall_NH_Icon.png
紅色置物櫃房間牆,Red locker-room wall,あかいロッカールームのかべ,紅色置物櫃房間牆_Red_locker-room_wall.png,https://dodo.ac/np/images/7/7f/Red_Locker-Room_Wall_NH_Icon.png
復古餐廳牆,Retro restaurant wall,レトロなレストランのかべ,復古餐廳牆_Retro_restaurant_wall.png,https://dodo.ac/np/images/d/dc/Retro_Restaurant_Wall_NH_Icon.png
機器人牆,Robo-wall,ロボのかべ,機器人牆_Robo-wall.png,https://dodo.ac/np/images/2/2a/Robo-Wall_NH_Icon.png
房間草圖壁紙,Room Sketch wall,ルームスケッチのかべがみ,房間草圖壁紙_Room_Sketch_wall.png,https://dodo.ac/np/images/7/75/Room_Sketch_Wall_NH_Icon.png
繩網牆,Rope-net wall,ロープネットのかべ,繩網牆_Rope-net_wall.png,https://dodo.ac/np/images/9/9a/Rope-Net_Wall_NH_Icon.png
體育場牆,Stadium wall,スタジアムのかべ,體育場牆_Stadium_wall.png,https://dodo.ac/np/images/7/70/Stadium_Wall_NH_Icon.png
蒸汽龐克牆,Steampunk wall,スチームパンクなかべ,蒸汽龐克牆_Steampunk_wall.png,https://dodo.ac/np/images/b/bb/Steampunk_Wall_NH_Icon.png
超市牆,Supermarket wall,スーパーマーケットのかべ,超市牆_Supermarket_wall.png,https://dodo.ac/np/images/b/b9/Supermarket_Wall_NH_Icon.png
帳篷牆,Tent wall,テントのかべ,帳篷牆_Tent_wall.png,https://dodo.ac/np/images/b/b2/Tent_Wall_NH_Icon.png
車窗牆,Train-window wall,しゃそうのかべ,車窗牆_Train-window_wall.png,https://dodo.ac/np/images/e/e8/Train-Window_Wall_NH_Icon.png
歐式白牆,White European-style wall,ヨーロピアンスタイルのしろかべ,歐式白牆_White_European-style_wall.png,https://dodo.ac/np/images/9/9b/White_European-Style_Wall_NH_Icon.png
白色六角磚牆,White honeycomb-tile wall,しろいハニカムタイルのかべ,白色六角磚牆_White_honeycomb-tile_wall.png,https://dodo.ac/np/images/b/bc/White_Honeycomb-Tile_Wall_NH_Icon.png
白色窗臺牆,White window-panel wall,しろいまどべのかべ,白色窗臺牆_White_window-panel_wall.png,https://dodo.ac/np/images/7/72/White_Window-Panel_Wall_NH_Icon.png
白色架子牆,White-shelving wall,しろいシェルフのかべ,白色架子牆_White-shelving_wall.png,https://dodo.ac/np/images/f/f8/White-Shelving_Wall_NH_Icon.png
和風建築牆,Zen architecture wall,わふうけんちくのかべ,和風建築牆_Zen_architecture_wall.png,https://dodo.ac/np/images/8/84/Zen_Architecture_Wall_NH_Icon.png
